id,title,freq,start,end,sa,category
CP3M,3-Month Commercial Paper Rate (DISCONTINUED),Monthly,4/1/1971,8/1/1997,Not Seasonally Adjusted,Interest Rate
TB3MS,"3-Month Treasury Bill Secondary Market Rate, Discount Basis",Monthly,1/1/1934,11/1/2023,Not Seasonally Adjusted,Interest Rate
TB6MS,"6-Month Treasury Bill Secondary Market Rate, Discount Basis",Monthly,12/1/1958,11/1/2023,Not Seasonally Adjusted,Interest Rate
GS1,"Market Yield on U.S. Treasury Securities at 1-Year Constant Maturity, Quoted on an Investment Basis",Monthly,4/1/1953,11/1/2023,Not Seasonally Adjusted,Interest Rate
GS5,"Market Yield on U.S. Treasury Securities at 5-Year Constant Maturity, Quoted on an Investment Basis",Monthly,4/1/1953,11/1/2023,Not Seasonally Adjusted,Interest Rate
GS10,"Market Yield on U.S. Treasury Securities at 10-Year Constant Maturity, Quoted on an Investment Basis",Monthly,4/1/1953,11/1/2023,Not Seasonally Adjusted,Interest Rate
AAA,Moody's Seasoned Aaa Corporate Bond Yield,Monthly,1/1/1919,11/1/2023,Not Seasonally Adjusted,Interest Rate
BAA,Moody's Seasoned Baa Corporate Bond Yield,Monthly,1/1/1919,11/1/2023,Not Seasonally Adjusted,Interest Rate
TB3SMFFM,3-Month Treasury Bill Minus Federal Funds Rate,Monthly,7/1/1954,11/1/2023,Not Seasonally Adjusted,Interest Rate
TB6SMFFM,6-Month Treasury Bill Minus Federal Funds Rate,Monthly,12/1/1958,11/1/2023,Not Seasonally Adjusted,Interest Rate
T1YFFM,1-Year Treasury Constant Maturity Minus Federal Funds Rate,Monthly,7/1/1954,11/1/2023,Not Seasonally Adjusted,Interest Rate
T5YFFM,5-Year Treasury Constant Maturity Minus Federal Funds Rate,Monthly,7/1/1954,11/1/2023,Not Seasonally Adjusted,Interest Rate
T10YFFM,10-Year Treasury Constant Maturity Minus Federal Funds Rate,Monthly,7/1/1954,11/1/2023,Not Seasonally Adjusted,Interest Rate
AAAFFM,Moody's Seasoned Aaa Corporate Bond Minus Federal Funds Rate,Monthly,7/1/1954,11/1/2023,Not Seasonally Adjusted,Interest Rate
BAAFFM,Moody's Seasoned Baa Corporate Bond Minus Federal Funds Rate,Monthly,7/1/1954,11/1/2023,Not Seasonally Adjusted,Interest Rate
TWEXAFEGSMTH,Nominal Advanced Foreign Economies U.S. Dollar Index,Monthly,1/1/2006,11/1/2023,Not Seasonally Adjusted,Interest Rate
EXSZUS,Swiss Francs to U.S. Dollar Spot Exchange Rate,Monthly,1/1/1971,11/1/2023,Not Seasonally Adjusted,Exchange Rate
EXJPUS,Japanese Yen to U.S. Dollar Spot Exchange Rate,Monthly,1/1/1971,11/1/2023,Not Seasonally Adjusted,Exchange Rate
EXUSUK,U.S. Dollars to U.K. Pound Sterling Spot Exchange Rate,Monthly,1/1/1971,11/1/2023,Not Seasonally Adjusted,Exchange Rate
EXCAUS,Canadian Dollars to U.S. Dollar Spot Exchange Rate,Monthly,1/1/1971,11/1/2023,Not Seasonally Adjusted,Exchange Rate
WPSFD49207,Producer Price Index by Commodity: Final Demand: Finished Goods,Monthly,4/1/1947,11/1/2023,Seasonally Adjusted,Prices
WPSFD49502,Producer Price Index by Commodity: Final Demand: Personal Consumption Goods (Finished Consumer Goods),Monthly,4/1/1947,11/1/2023,Seasonally Adjusted,Prices
WPSID61,Producer Price Index by Commodity: Intermediate Demand by Commodity Type: Processed Goods for Intermediate Demand,Monthly,4/1/1947,11/1/2023,Seasonally Adjusted,Prices
WPSID62,Producer Price Index by Commodity: Intermediate Demand by Commodity Type: Unprocessed Goods for Intermediate Demand,Monthly,4/1/1947,11/1/2023,Seasonally Adjusted,Prices
OILPRICE,Spot Oil Price: West Texas Intermediate (DISCONTINUED),Monthly,1/1/1946,7/1/2013,Not Seasonally Adjusted,Prices
PPICMM,Producer Price Index by Commodity: Metals and Metal Products: Primary Nonferrous Metals,Monthly,1/1/1947,11/1/2023,Not Seasonally Adjusted,Prices
CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,Monthly,1/1/1947,11/1/2023,Seasonally Adjusted,Prices
CPIAPPSL,Consumer Price Index for All Urban Consumers: Apparel in U.S. City Average,Monthly,1/1/1947,11/1/2023,Seasonally Adjusted,Prices
CPITRNSL,Consumer Price Index for All Urban Consumers: Transportation in U.S. City Average,Monthly,1/1/1947,11/1/2023,Seasonally Adjusted,Prices
CPIMEDSL,Consumer Price Index for All Urban Consumers: Medical Care in U.S. City Average,Monthly,1/1/1947,11/1/2023,Seasonally Adjusted,Prices
CUSR0000SAC,Consumer Price Index for All Urban Consumers: Commodities in U.S. City Average,Monthly,1/1/1956,11/1/2023,Seasonally Adjusted,Prices
CUSR0000SAD,Consumer Price Index for All Urban Consumers: Durables in U.S. City Average,Monthly,1/1/1956,11/1/2023,Seasonally Adjusted,Prices
CUSR0000SAS,Consumer Price Index for All Urban Consumers: Services in U.S. City Average,Monthly,1/1/1956,11/1/2023,Seasonally Adjusted,Prices
CPIULFSL,Consumer Price Index for All Urban Consumers: All Items Less Food in U.S. City Average,Monthly,1/1/1947,11/1/2023,Seasonally Adjusted,Prices
CUSR0000SA0L2,Consumer Price Index for All Urban Consumers: All Items Less Shelter in U.S. City Average,Monthly,1/1/1947,11/1/2023,Seasonally Adjusted,Prices
CUSR0000SA0L5,Consumer Price Index for All Urban Consumers: All Items Less Medical Care in U.S. City Average,Monthly,1/1/1957,11/1/2023,Seasonally Adjusted,Prices
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,Monthly,1/1/1959,11/1/2023,Seasonally Adjusted,Prices
DDURRG3M086SBEA,Personal consumption expenditures: Durable goods (chain-type price index),Monthly,1/1/1959,11/1/2023,Seasonally Adjusted,Prices
DNDGRG3M086SBEA,Personal consumption expenditures: Nondurable goods (chain-type price index),Monthly,1/1/1959,11/1/2023,Seasonally Adjusted,Prices
DSERRG3M086SBEA,Personal consumption expenditures: Services (chain-type price index),Monthly,1/1/1959,11/1/2023,Seasonally Adjusted,Prices
MZMSL,MZM Money Stock (DISCONTINUED),Monthly,1/1/1959,1/1/2021,Seasonally Adjusted,Prices
PPIACO,Producer Price Index by Commodity: All Commodities,Monthly,1/1/1913,11/1/2023,Not Seasonally Adjusted,Commodity
WPUSI012011,Producer Price Index by Commodity: Special Indexes: Construction Materials ,Monthly,1/1/1947,11/1/2023,Not Seasonally Adjusted,Commodity
WPU10,Producer Price Index by Commodity: Metals and Metal Products,Monthly,1/1/1926,11/1/2023,Not Seasonally Adjusted,Commodity
WPU083,Producer Price Index by Commodity: Lumber and Wood Products: Plywood ,Monthly,1/1/1947,11/1/2023,Not Seasonally Adjusted,Commodity
PPIIDC,Producer Price Index by Commodity: Industrial Commodities,Monthly,1/1/1913,11/1/2023,Not Seasonally Adjusted,Commodity
WTISPLC,Spot Crude Oil Price: West Texas Intermediate (WTI),Monthly,1/1/1946,11/1/2023,Not Seasonally Adjusted,Commodity
IPMINE,"Industrial Production: Mining, Quarrying, and Oil and Gas Extraction: Mining (NAICS = 21)",Monthly,1/1/1919,11/1/2023,Seasonally Adjusted,Commodity
M1109BUSM293NNBR,Dow-Jones Industrial Stock Price Index for United States (DISCONTINUED),Monthly,12/1/1914,12/1/1968,Not Seasonally Adjusted,Market
CCUSSP01GBM650N,"Currency Conversions: US Dollar Exchange Rate: Spot, End of Period: USD: National Currency for United Kingdom ",Monthly,1/1/1960,11/1/2023,Not Seasonally Adjusted,Forex
CCUSSP01JPM650N,"Currency Conversions: US Dollar Exchange Rate: Spot, End of Period: USD: National Currency for Japan",Monthly,1/1/1960,11/1/2023,Not Seasonally Adjusted,Forex
CCUSSP01DEM650N,"Currency Conversions: US Dollar Exchange Rate: Spot, End of Period: USD: National Currency for Germany ",Monthly,1/1/1960,11/1/2023,Not Seasonally Adjusted,Forex
CCUSSP01CAM650N,"Currency Conversions: US Dollar Exchange Rate: Spot, End of Period: USD: National Currency for Canada",Monthly,1/1/1960,11/1/2023,Not Seasonally Adjusted,Forex
CCUSSP01MXM650N,"Currency Conversions: US Dollar Exchange Rate: Spot, End of Period: USD: National Currency for Mexico ",Monthly,1/1/1960,11/1/2023,Not Seasonally Adjusted,Forex
CCUSSP02CNM650N," Currency Conversions: US Dollar Exchange Rate: Spot, End of Period: National Currency: USD for China",Monthly,1/1/1960,11/1/2023,Not Seasonally Adjusted,Forex
